-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                         attention/rope         0.00%       0.000us         0.00%       0.000us       0.000us      37.868ms        96.10%      37.868ms     236.672us           0 B           0 B           0 B           0 B           160  
                                               aten::mm         5.49%       9.090ms         7.56%      12.519ms      10.981us      22.500ms        57.10%      22.500ms      19.737us           0 B           0 B       3.99 MB       3.99 MB          1140  
                                         attention/sdpa         0.00%       0.000us         0.00%       0.000us       0.000us      18.747ms        47.57%      18.747ms     117.167us           0 B           0 B           0 B           0 B           160  
                                                rmsnorm         0.00%       0.000us         0.00%       0.000us       0.000us      16.958ms        43.03%      16.958ms      49.876us           0 B           0 B           0 B           0 B           340  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      11.835ms        30.03%      11.835ms      18.492us           0 B           0 B           0 B           0 B           640  
                                       mlp/gate_up_proj         0.00%       0.000us         0.00%       0.000us       0.000us       8.589ms        21.80%       8.589ms      53.681us           0 B           0 B           0 B           0 B           160  
                                     attention/qkv_proj         0.00%       0.000us         0.00%       0.000us       0.000us       6.668ms        16.92%       6.668ms      41.673us           0 B           0 B           0 B           0 B           160  
                     aten::_efficient_attention_forward         0.75%       1.242ms         1.67%       2.768ms      17.301us       6.028ms        15.30%       6.028ms      37.674us       2.50 KB           0 B     320.00 KB           0 B           160  
fmha_cutlassF_f32_aligned_64x64_rf_sm80(PyTorchMemEf...         0.00%       0.000us         0.00%       0.000us       0.000us       6.028ms        15.30%       6.028ms      37.674us           0 B           0 B           0 B           0 B           160  
void gemv2T_kernel_val<int, int, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us       5.077ms        12.88%       5.077ms     253.866us           0 B           0 B           0 B           0 B            20  
