-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::mm         5.58%     549.756us         9.08%     893.943us      15.683us       3.158ms        74.58%       3.158ms      55.397us           0 B           0 B      25.56 MB      25.56 MB            57  
                                 ampere_sgemm_128x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us       2.544ms        60.09%       2.544ms      62.056us           0 B           0 B           0 B           0 B            41  
                                         attention/rope         0.00%       0.000us         0.00%       0.000us       0.000us       1.704ms        40.25%       1.704ms     213.030us           0 B           0 B           0 B           0 B             8  
                                       mlp/gate_up_proj         0.00%       0.000us         0.00%       0.000us       0.000us       1.139ms        26.90%       1.139ms     142.375us           0 B           0 B           0 B           0 B             8  
                                                rmsnorm         0.00%       0.000us         0.00%       0.000us       0.000us     641.788us        15.16%     641.788us      37.752us           0 B           0 B           0 B           0 B            17  
                                     attention/qkv_proj         0.00%       0.000us         0.00%       0.000us       0.000us     623.131us        14.72%     623.131us      77.891us           0 B           0 B           0 B           0 B             8  
                                          mlp/down_proj         0.00%       0.000us         0.00%       0.000us       0.000us     588.184us        13.89%     588.184us      73.523us           0 B           0 B           0 B           0 B             8  
                                                lm_head         0.00%       0.000us         0.00%       0.000us       0.000us     580.442us        13.71%     580.442us     580.442us           0 B           0 B           0 B           0 B             1  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     415.675us         9.82%     415.675us      10.392us           0 B           0 B           0 B           0 B            40  
                                     attention/out_proj         0.00%       0.000us         0.00%       0.000us       0.000us     389.341us         9.20%     389.341us      48.668us           0 B           0 B           0 B           0 B             8  
                                              aten::mul         3.09%     304.286us         4.83%     475.409us       6.424us     269.917us         6.38%     269.917us       3.648us           0 B           0 B      19.00 MB      19.00 MB            74  
