-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                         attention/rope         0.00%       0.000us         0.00%       0.000us       0.000us      34.393ms        87.16%      34.393ms     214.958us           0 B           0 B           0 B           0 B           160  
                                               aten::mm         5.69%       8.758ms         7.78%      11.973ms      10.503us      22.505ms        57.04%      22.505ms      19.742us           0 B           0 B       3.99 MB       3.99 MB          1140  
                                         attention/sdpa         0.00%       0.000us         0.00%       0.000us       0.000us      17.727ms        44.93%      17.727ms     110.794us           0 B           0 B           0 B           0 B           160  
                                                rmsnorm         0.00%       0.000us         0.00%       0.000us       0.000us      16.373ms        41.49%      16.373ms      48.155us           0 B           0 B           0 B           0 B           340  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      11.836ms        30.00%      11.836ms      18.494us           0 B           0 B           0 B           0 B           640  
                                       mlp/gate_up_proj         0.00%       0.000us         0.00%       0.000us       0.000us       8.494ms        21.53%       8.494ms      53.087us           0 B           0 B           0 B           0 B           160  
                                     attention/qkv_proj         0.00%       0.000us         0.00%       0.000us       0.000us       6.250ms        15.84%       6.250ms      39.062us           0 B           0 B           0 B           0 B           160  
                     aten::_efficient_attention_forward         0.74%       1.142ms         1.72%       2.651ms      16.572us       6.032ms        15.29%       6.032ms      37.703us       2.50 KB           0 B     320.00 KB           0 B           160  
fmha_cutlassF_f32_aligned_64x64_rf_sm80(PyTorchMemEf...         0.00%       0.000us         0.00%       0.000us       0.000us       6.032ms        15.29%       6.032ms      37.703us           0 B           0 B           0 B           0 B           160  
void gemv2T_kernel_val<int, int, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us       5.078ms        12.87%       5.078ms     253.876us           0 B           0 B           0 B           0 B            20  
