-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::mm         6.35%     519.338us        10.20%     834.047us      14.632us       3.144ms        74.51%       3.144ms      55.156us           0 B           0 B      25.56 MB      25.56 MB            57  
                                 ampere_sgemm_128x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us       2.525ms        59.85%       2.525ms      61.591us           0 B           0 B           0 B           0 B            41  
                                         attention/rope         0.00%       0.000us         0.00%       0.000us       0.000us       1.676ms        39.73%       1.676ms     209.522us           0 B           0 B           0 B           0 B             8  
                                       mlp/gate_up_proj         0.00%       0.000us         0.00%       0.000us       0.000us       1.031ms        24.45%       1.031ms     128.930us           0 B           0 B           0 B           0 B             8  
                                     attention/qkv_proj         0.00%       0.000us         0.00%       0.000us       0.000us     625.530us        14.83%     625.530us      78.191us           0 B           0 B           0 B           0 B             8  
                                          mlp/down_proj         0.00%       0.000us         0.00%       0.000us       0.000us     592.857us        14.05%     592.857us      74.107us           0 B           0 B           0 B           0 B             8  
                                                lm_head         0.00%       0.000us         0.00%       0.000us       0.000us     585.721us        13.88%     585.721us     585.721us           0 B           0 B           0 B           0 B             1  
                                                rmsnorm         0.00%       0.000us         0.00%       0.000us       0.000us     554.298us        13.14%     554.298us      32.606us           0 B           0 B           0 B           0 B            17  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     419.801us         9.95%     419.801us      10.495us           0 B           0 B           0 B           0 B            40  
                                     attention/out_proj         0.00%       0.000us         0.00%       0.000us       0.000us     391.100us         9.27%     391.100us      48.887us           0 B           0 B           0 B           0 B             8  
                                              aten::mul         3.77%     308.609us         5.89%     482.147us       6.516us     269.822us         6.40%     269.822us       3.646us           0 B           0 B      19.00 MB      19.00 MB            74  
