-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                         attention/rope         0.00%       0.000us         0.00%       0.000us       0.000us      33.284ms        77.74%      33.284ms     208.023us           0 B           0 B           0 B           0 B           160  
                                               aten::mm         5.36%       8.255ms         7.35%      11.331ms       9.939us      23.132ms        54.03%      23.132ms      20.291us           0 B           0 B       7.99 MB       7.99 MB          1140  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 2, 2, tr...         0.00%       0.000us         0.00%       0.000us       0.000us      23.132ms        54.03%      23.132ms      20.291us           0 B           0 B           0 B           0 B          1140  
                                         attention/sdpa         0.00%       0.000us         0.00%       0.000us       0.000us      18.189ms        42.48%      18.189ms     113.681us           0 B           0 B           0 B           0 B           160  
                                                rmsnorm         0.00%       0.000us         0.00%       0.000us       0.000us      16.054ms        37.49%      16.054ms      47.217us           0 B           0 B           0 B           0 B           340  
                                       mlp/gate_up_proj         0.00%       0.000us         0.00%       0.000us       0.000us       8.802ms        20.56%       8.802ms      55.010us           0 B           0 B           0 B           0 B           160  
                     aten::_efficient_attention_forward         0.74%       1.135ms         1.67%       2.567ms      16.046us       6.948ms        16.23%       6.948ms      43.428us       2.50 KB           0 B     640.00 KB           0 B           160  
fmha_cutlassF_f32_aligned_64x64_rf_sm80(PyTorchMemEf...         0.00%       0.000us         0.00%       0.000us       0.000us       6.948ms        16.23%       6.948ms      43.428us           0 B           0 B           0 B           0 B           160  
                                     attention/qkv_proj         0.00%       0.000us         0.00%       0.000us       0.000us       6.052ms        14.13%       6.052ms      37.823us           0 B           0 B           0 B           0 B           160  
                                                lm_head         0.00%       0.000us         0.00%       0.000us       0.000us       5.060ms        11.82%       5.060ms     252.996us           0 B           0 B           0 B           0 B            20  
