-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                     aten::_efficient_attention_forward         0.68%       1.084ms         1.65%       2.624ms      16.398us      44.503ms        39.52%      44.503ms     278.146us       2.50 KB           0 B       5.00 MB           0 B           160  
fmha_cutlassF_f32_aligned_64x64_rf_sm80(PyTorchMemEf...         0.00%       0.000us         0.00%       0.000us       0.000us      44.503ms        39.52%      44.503ms     278.146us           0 B           0 B           0 B           0 B           160  
                                         attention/sdpa         0.00%       0.000us         0.00%       0.000us       0.000us      44.503ms        39.52%      44.503ms     278.146us           0 B           0 B           0 B           0 B           160  
                                               aten::mm         5.35%       8.476ms         7.66%      12.148ms      10.656us      40.115ms        35.62%      40.115ms      35.188us           0 B           0 B      63.91 MB      63.91 MB          1140  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 8, 9, fa...         0.00%       0.000us         0.00%       0.000us       0.000us      27.444ms        24.37%      27.444ms      28.587us           0 B           0 B           0 B           0 B           960  
                                       mlp/gate_up_proj         0.00%       0.000us         0.00%       0.000us       0.000us      17.784ms        15.79%      17.784ms     111.147us           0 B           0 B           0 B           0 B           160  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      16.610ms        14.75%      16.610ms      17.302us           0 B           0 B           0 B           0 B           960  
                                   attention/gqa_repeat         0.00%       0.000us         0.00%       0.000us       0.000us      15.545ms        13.81%      15.545ms      97.159us           0 B           0 B           0 B           0 B           160  
                                            aten::copy_         0.59%     937.065us        14.28%      22.638ms      66.582us      15.437ms        13.71%      15.437ms      45.404us           0 B           0 B           0 B           0 B           340  
                        ampere_sgemm_64x32_sliced1x4_tn         0.00%       0.000us         0.00%       0.000us       0.000us      12.166ms        10.80%      12.166ms      67.588us           0 B           0 B           0 B           0 B           180  
