-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::mm         7.79%       7.983ms        10.86%      11.126ms       9.760us      22.627ms        65.20%      22.627ms      19.848us           0 B           0 B       3.99 MB       3.99 MB          1140  
                                         attention/rope         0.00%       0.000us         0.00%       0.000us       0.000us      20.833ms        60.03%      20.833ms     130.206us           0 B           0 B           0 B           0 B           160  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      11.934ms        34.39%      11.934ms      18.647us           0 B           0 B           0 B           0 B           640  
                                       mlp/gate_up_proj         0.00%       0.000us         0.00%       0.000us       0.000us       8.560ms        24.67%       8.560ms      53.500us           0 B           0 B           0 B           0 B           160  
                                     attention/qkv_proj         0.00%       0.000us         0.00%       0.000us       0.000us       6.097ms        17.57%       6.097ms      38.107us           0 B           0 B           0 B           0 B           160  
                     aten::_efficient_attention_forward         1.03%       1.055ms         2.44%       2.496ms      15.602us       5.690ms        16.40%       5.690ms      35.565us       2.50 KB           0 B     320.00 KB           0 B           160  
fmha_cutlassF_f32_aligned_64x64_rf_sm80(PyTorchMemEf...         0.00%       0.000us         0.00%       0.000us       0.000us       5.690ms        16.40%       5.690ms      35.565us           0 B           0 B           0 B           0 B           160  
                                         attention/sdpa         0.00%       0.000us         0.00%       0.000us       0.000us       5.690ms        16.40%       5.690ms      35.565us           0 B           0 B           0 B           0 B           160  
void gemv2T_kernel_val<int, int, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us       5.074ms        14.62%       5.074ms     253.720us           0 B           0 B           0 B           0 B            20  
                                                lm_head         0.00%       0.000us         0.00%       0.000us       0.000us       5.074ms        14.62%       5.074ms     253.720us           0 B           0 B           0 B           0 B            20  
