-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::mm         6.89%     478.350us        11.37%     789.252us      13.847us       3.150ms        78.88%       3.150ms      55.261us           0 B           0 B      25.56 MB      25.56 MB            57  
                                 ampere_sgemm_128x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us       2.531ms        63.37%       2.531ms      61.720us           0 B           0 B           0 B           0 B            41  
                                       mlp/gate_up_proj         0.00%       0.000us         0.00%       0.000us       0.000us       1.037ms        25.97%       1.037ms     129.618us           0 B           0 B           0 B           0 B             8  
                                         attention/rope         0.00%       0.000us         0.00%       0.000us       0.000us     779.483us        19.52%     779.483us      97.435us           0 B           0 B           0 B           0 B             8  
                                     attention/qkv_proj         0.00%       0.000us         0.00%       0.000us       0.000us     629.349us        15.76%     629.349us      78.669us           0 B           0 B           0 B           0 B             8  
                                          mlp/down_proj         0.00%       0.000us         0.00%       0.000us       0.000us     591.141us        14.80%     591.141us      73.893us           0 B           0 B           0 B           0 B             8  
                                                lm_head         0.00%       0.000us         0.00%       0.000us       0.000us     581.957us        14.57%     581.957us     581.957us           0 B           0 B           0 B           0 B             1  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     421.617us        10.56%     421.617us      10.540us           0 B           0 B           0 B           0 B            40  
                                     attention/out_proj         0.00%       0.000us         0.00%       0.000us       0.000us     391.855us         9.81%     391.855us      48.982us           0 B           0 B           0 B           0 B             8  
                     aten::_efficient_attention_forward         0.87%      60.443us         2.01%     139.817us      17.477us     254.516us         6.37%     254.516us      31.815us         128 B           0 B       2.00 MB           0 B             8  
