-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::mm         5.29%     332.586us         8.58%     539.549us      16.350us       3.084ms        77.32%       3.084ms      93.455us           0 B           0 B      25.56 MB      25.56 MB            33  
                                 ampere_sgemm_128x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us       2.603ms        65.26%       2.603ms      78.876us           0 B           0 B           0 B           0 B            33  
                                       mlp/gate_up_proj         0.00%       0.000us         0.00%       0.000us       0.000us     915.675us        22.96%     915.675us     114.459us           0 B           0 B           0 B           0 B             8  
                                     attention/qkv_proj         0.00%       0.000us         0.00%       0.000us       0.000us     653.606us        16.39%     653.606us      81.701us           0 B           0 B           0 B           0 B             8  
                                          mlp/down_proj         0.00%       0.000us         0.00%       0.000us       0.000us     587.175us        14.72%     587.175us      73.397us           0 B           0 B           0 B           0 B             8  
                                                lm_head         0.00%       0.000us         0.00%       0.000us       0.000us     580.008us        14.54%     580.008us     580.008us           0 B           0 B           0 B           0 B             1  
                                         attention/rope         0.00%       0.000us         0.00%       0.000us       0.000us     548.714us        13.76%     548.714us      68.589us           0 B           0 B           0 B           0 B             8  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     477.677us        11.98%     477.677us      19.903us           0 B           0 B           0 B           0 B            24  
                                     attention/out_proj         0.00%       0.000us         0.00%       0.000us       0.000us     391.792us         9.82%     391.792us      48.974us           0 B           0 B           0 B           0 B             8  
                     aten::_efficient_attention_forward         1.16%      72.807us         2.41%     151.737us      18.967us     256.693us         6.44%     256.693us      32.087us         128 B           0 B       2.00 MB           0 B             8  
