-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::mm         6.32%       6.323ms         8.69%       8.691ms      10.599us      21.885ms        64.56%      21.885ms      26.689us           0 B           0 B       3.99 MB       3.99 MB           820  
                                         attention/rope         0.00%       0.000us         0.00%       0.000us       0.000us      21.195ms        62.52%      21.195ms     132.468us           0 B           0 B           0 B           0 B           160  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      12.637ms        37.28%      12.637ms      19.746us           0 B           0 B           0 B           0 B           640  
                                       mlp/gate_up_proj         0.00%       0.000us         0.00%       0.000us       0.000us       8.582ms        25.32%       8.582ms      53.641us           0 B           0 B           0 B           0 B           160  
                     aten::_efficient_attention_forward         1.06%       1.058ms         2.52%       2.518ms      15.738us       5.644ms        16.65%       5.644ms      35.277us       2.50 KB           0 B     320.00 KB           0 B           160  
fmha_cutlassF_f32_aligned_64x64_rf_sm80(PyTorchMemEf...         0.00%       0.000us         0.00%       0.000us       0.000us       5.644ms        16.65%       5.644ms      35.277us           0 B           0 B           0 B           0 B           160  
                                         attention/sdpa         0.00%       0.000us         0.00%       0.000us       0.000us       5.644ms        16.65%       5.644ms      35.277us           0 B           0 B           0 B           0 B           160  
void gemv2T_kernel_val<int, int, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us       5.069ms        14.95%       5.069ms     253.464us           0 B           0 B           0 B           0 B            20  
                                                lm_head         0.00%       0.000us         0.00%       0.000us       0.000us       5.069ms        14.95%       5.069ms     253.464us           0 B           0 B           0 B           0 B            20  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us       4.178ms        12.32%       4.178ms      26.112us           0 B           0 B           0 B           0 B           160  
