-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::mm         5.80%     375.877us         9.48%     614.401us      14.985us       3.187ms        78.91%       3.187ms      77.736us           0 B           0 B      25.56 MB      25.56 MB            41  
                                 ampere_sgemm_128x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us       2.700ms        66.84%       2.700ms      65.852us           0 B           0 B           0 B           0 B            41  
                                       mlp/gate_up_proj         0.00%       0.000us         0.00%       0.000us       0.000us       1.031ms        25.54%       1.031ms     128.927us           0 B           0 B           0 B           0 B             8  
                                     attention/qkv_proj         0.00%       0.000us         0.00%       0.000us       0.000us     652.070us        16.14%     652.070us      81.509us           0 B           0 B           0 B           0 B             8  
                                          mlp/down_proj         0.00%       0.000us         0.00%       0.000us       0.000us     591.944us        14.66%     591.944us      73.993us           0 B           0 B           0 B           0 B             8  
                                                lm_head         0.00%       0.000us         0.00%       0.000us       0.000us     581.032us        14.39%     581.032us     581.032us           0 B           0 B           0 B           0 B             1  
                                         attention/rope         0.00%       0.000us         0.00%       0.000us       0.000us     545.994us        13.52%     545.994us      68.249us           0 B           0 B           0 B           0 B             8  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     481.258us        11.91%     481.258us      20.052us           0 B           0 B           0 B           0 B            24  
                                     attention/out_proj         0.00%       0.000us         0.00%       0.000us       0.000us     389.232us         9.64%     389.232us      48.654us           0 B           0 B           0 B           0 B             8  
                     aten::_efficient_attention_forward         0.88%      56.715us         2.17%     140.860us      17.608us     252.693us         6.26%     252.693us      31.587us         128 B           0 B       2.00 MB           0 B             8  
