-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::mm         6.86%       8.272ms         9.50%      11.456ms      10.049us      22.542ms        61.91%      22.542ms      19.773us           0 B           0 B       3.99 MB       3.99 MB          1140  
                                         attention/rope         0.00%       0.000us         0.00%       0.000us       0.000us      21.202ms        58.23%      21.202ms     132.513us           0 B           0 B           0 B           0 B           160  
                                         attention/sdpa         0.00%       0.000us         0.00%       0.000us       0.000us      17.054ms        46.83%      17.054ms     106.585us           0 B           0 B           0 B           0 B           160  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      11.861ms        32.57%      11.861ms      18.533us           0 B           0 B           0 B           0 B           640  
                                       mlp/gate_up_proj         0.00%       0.000us         0.00%       0.000us       0.000us       8.503ms        23.35%       8.503ms      53.145us           0 B           0 B           0 B           0 B           160  
                     aten::_efficient_attention_forward         0.92%       1.108ms         2.07%       2.492ms      15.576us       6.022ms        16.54%       6.022ms      37.636us       2.50 KB           0 B     320.00 KB           0 B           160  
fmha_cutlassF_f32_aligned_64x64_rf_sm80(PyTorchMemEf...         0.00%       0.000us         0.00%       0.000us       0.000us       6.022ms        16.54%       6.022ms      37.636us           0 B           0 B           0 B           0 B           160  
                                     attention/qkv_proj         0.00%       0.000us         0.00%       0.000us       0.000us       5.974ms        16.41%       5.974ms      37.336us           0 B           0 B           0 B           0 B           160  
void gemv2T_kernel_val<int, int, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us       5.076ms        13.94%       5.076ms     253.805us           0 B           0 B           0 B           0 B            20  
                                                lm_head         0.00%       0.000us         0.00%       0.000us       0.000us       5.076ms        13.94%       5.076ms     253.805us           0 B           0 B           0 B           0 B            20  
