-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::mm         7.67%     492.459us        12.42%     797.003us      13.983us       3.148ms        78.84%       3.148ms      55.231us           0 B           0 B      25.56 MB      25.56 MB            57  
                                 ampere_sgemm_128x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us       2.526ms        63.27%       2.526ms      61.614us           0 B           0 B           0 B           0 B            41  
                                       mlp/gate_up_proj         0.00%       0.000us         0.00%       0.000us       0.000us       1.023ms        25.63%       1.023ms     127.914us           0 B           0 B           0 B           0 B             8  
                                     attention/qkv_proj         0.00%       0.000us         0.00%       0.000us       0.000us     628.390us        15.74%     628.390us      78.549us           0 B           0 B           0 B           0 B             8  
                                          mlp/down_proj         0.00%       0.000us         0.00%       0.000us       0.000us     595.399us        14.91%     595.399us      74.425us           0 B           0 B           0 B           0 B             8  
                                                lm_head         0.00%       0.000us         0.00%       0.000us       0.000us     590.503us        14.79%     590.503us     590.503us           0 B           0 B           0 B           0 B             1  
                                         attention/rope         0.00%       0.000us         0.00%       0.000us       0.000us     588.808us        14.75%     588.808us      73.601us           0 B           0 B           0 B           0 B             8  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     422.956us        10.59%     422.956us      10.574us           0 B           0 B           0 B           0 B            40  
                                     attention/out_proj         0.00%       0.000us         0.00%       0.000us       0.000us     391.694us         9.81%     391.694us      48.962us           0 B           0 B           0 B           0 B             8  
                     aten::_efficient_attention_forward         0.87%      56.140us         2.13%     136.644us      17.081us     255.700us         6.40%     255.700us      31.963us         128 B           0 B       2.00 MB           0 B             8  
