-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                         attention/rope         0.00%       0.000us         0.00%       0.000us       0.000us      35.105ms        89.62%      35.105ms     219.404us           0 B           0 B           0 B           0 B           160  
                                               aten::mm         5.67%       8.988ms         7.82%      12.407ms      10.883us      22.607ms        57.72%      22.607ms      19.831us           0 B           0 B       3.99 MB       3.99 MB          1140  
                                         attention/sdpa         0.00%       0.000us         0.00%       0.000us       0.000us      17.895ms        45.69%      17.895ms     111.841us           0 B           0 B           0 B           0 B           160  
                                                rmsnorm         0.00%       0.000us         0.00%       0.000us       0.000us      16.569ms        42.30%      16.569ms      48.733us           0 B           0 B           0 B           0 B           340  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      11.903ms        30.39%      11.903ms      18.598us           0 B           0 B           0 B           0 B           640  
                                       mlp/gate_up_proj         0.00%       0.000us         0.00%       0.000us       0.000us       8.630ms        22.03%       8.630ms      53.939us           0 B           0 B           0 B           0 B           160  
                                     attention/qkv_proj         0.00%       0.000us         0.00%       0.000us       0.000us       6.207ms        15.85%       6.207ms      38.792us           0 B           0 B           0 B           0 B           160  
                     aten::_efficient_attention_forward         0.74%       1.172ms         1.65%       2.622ms      16.386us       6.018ms        15.37%       6.018ms      37.615us       2.50 KB           0 B     320.00 KB           0 B           160  
fmha_cutlassF_f32_aligned_64x64_rf_sm80(PyTorchMemEf...         0.00%       0.000us         0.00%       0.000us       0.000us       6.018ms        15.37%       6.018ms      37.615us           0 B           0 B           0 B           0 B           160  
void gemv2T_kernel_val<int, int, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us       5.074ms        12.95%       5.074ms     253.687us           0 B           0 B           0 B           0 B            20  
