-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::mm         6.11%     492.003us        10.05%     809.690us      14.205us       3.146ms        74.12%       3.146ms      55.188us           0 B           0 B      25.56 MB      25.56 MB            57  
                                 ampere_sgemm_128x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us       2.524ms        59.47%       2.524ms      61.554us           0 B           0 B           0 B           0 B            41  
                                         attention/rope         0.00%       0.000us         0.00%       0.000us       0.000us       1.480ms        34.87%       1.480ms     185.003us           0 B           0 B           0 B           0 B             8  
                                       mlp/gate_up_proj         0.00%       0.000us         0.00%       0.000us       0.000us       1.042ms        24.55%       1.042ms     130.231us           0 B           0 B           0 B           0 B             8  
                                     attention/qkv_proj         0.00%       0.000us         0.00%       0.000us       0.000us     625.019us        14.73%     625.019us      78.127us           0 B           0 B           0 B           0 B             8  
                                          mlp/down_proj         0.00%       0.000us         0.00%       0.000us       0.000us     589.468us        13.89%     589.468us      73.683us           0 B           0 B           0 B           0 B             8  
                                                lm_head         0.00%       0.000us         0.00%       0.000us       0.000us     579.579us        13.66%     579.579us     579.579us           0 B           0 B           0 B           0 B             1  
                                                rmsnorm         0.00%       0.000us         0.00%       0.000us       0.000us     558.203us        13.15%     558.203us      32.835us           0 B           0 B           0 B           0 B            17  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     423.258us         9.97%     423.258us      10.581us           0 B           0 B           0 B           0 B            40  
                                     attention/out_proj         0.00%       0.000us         0.00%       0.000us       0.000us     391.740us         9.23%     391.740us      48.967us           0 B           0 B           0 B           0 B             8  
                                              aten::mul         3.70%     298.124us         5.79%     466.166us       6.300us     270.591us         6.38%     270.591us       3.657us           0 B           0 B      19.00 MB      19.00 MB            74  
