-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::mm         6.33%       6.528ms         8.69%       8.961ms      10.928us      21.890ms        64.54%      21.890ms      26.696us           0 B           0 B       3.99 MB       3.99 MB           820  
                                         attention/rope         0.00%       0.000us         0.00%       0.000us       0.000us      21.874ms        64.49%      21.874ms     136.716us           0 B           0 B           0 B           0 B           160  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      12.640ms        37.27%      12.640ms      19.751us           0 B           0 B           0 B           0 B           640  
                                       mlp/gate_up_proj         0.00%       0.000us         0.00%       0.000us       0.000us       8.576ms        25.28%       8.576ms      53.601us           0 B           0 B           0 B           0 B           160  
                     aten::_efficient_attention_forward         1.07%       1.102ms         2.53%       2.604ms      16.276us       5.647ms        16.65%       5.647ms      35.294us       2.50 KB           0 B     320.00 KB           0 B           160  
fmha_cutlassF_f32_aligned_64x64_rf_sm80(PyTorchMemEf...         0.00%       0.000us         0.00%       0.000us       0.000us       5.647ms        16.65%       5.647ms      35.294us           0 B           0 B           0 B           0 B           160  
                                         attention/sdpa         0.00%       0.000us         0.00%       0.000us       0.000us       5.647ms        16.65%       5.647ms      35.294us           0 B           0 B           0 B           0 B           160  
void gemv2T_kernel_val<int, int, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us       5.069ms        14.94%       5.069ms     253.448us           0 B           0 B           0 B           0 B            20  
                                                lm_head         0.00%       0.000us         0.00%       0.000us       0.000us       5.069ms        14.94%       5.069ms     253.448us           0 B           0 B           0 B           0 B            20  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us       4.181ms        12.33%       4.181ms      26.132us           0 B           0 B           0 B           0 B           160  
