-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::mm         6.23%     380.138us        10.12%     617.750us      15.067us       2.865ms        77.10%       2.865ms      69.880us           0 B           0 B      18.06 MB      18.06 MB            41  
                                 ampere_sgemm_128x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us       2.123ms        57.14%       2.123ms      53.084us           0 B           0 B           0 B           0 B            40  
                                       mlp/gate_up_proj         0.00%       0.000us         0.00%       0.000us       0.000us       1.038ms        27.93%       1.038ms     129.723us           0 B           0 B           0 B           0 B             8  
                                     attention/qkv_proj         0.00%       0.000us         0.00%       0.000us       0.000us     651.012us        17.52%     651.012us      81.377us           0 B           0 B           0 B           0 B             8  
                                          mlp/down_proj         0.00%       0.000us         0.00%       0.000us       0.000us     588.072us        15.83%     588.072us      73.509us           0 B           0 B           0 B           0 B             8  
                                         attention/rope         0.00%       0.000us         0.00%       0.000us       0.000us     518.377us        13.95%     518.377us      64.797us           0 B           0 B           0 B           0 B             8  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     480.106us        12.92%     480.106us      20.004us           0 B           0 B           0 B           0 B            24  
                                     attention/out_proj         0.00%       0.000us         0.00%       0.000us       0.000us     390.256us        10.50%     390.256us      48.782us           0 B           0 B           0 B           0 B             8  
void gemv2T_kernel_val<int, int, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us     256.213us         6.90%     256.213us     256.213us           0 B           0 B           0 B           0 B             1  
                                                lm_head         0.00%       0.000us         0.00%       0.000us       0.000us     256.213us         6.90%     256.213us     256.213us           0 B           0 B           0 B           0 B             1  
                     aten::_efficient_attention_forward         0.94%      57.179us         2.29%     139.655us      17.457us     253.494us         6.82%     253.494us      31.687us         128 B           0 B       2.00 MB           0 B             8  
