-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::mm         6.33%       8.506ms         8.71%      11.690ms      10.255us      22.512ms        58.28%      22.512ms      19.747us           0 B           0 B       3.99 MB       3.99 MB          1140  
                                         attention/rope         0.00%       0.000us         0.00%       0.000us       0.000us      21.182ms        54.84%      21.182ms     132.387us           0 B           0 B           0 B           0 B           160  
                                         attention/sdpa         0.00%       0.000us         0.00%       0.000us       0.000us      17.193ms        44.51%      17.193ms     107.457us           0 B           0 B           0 B           0 B           160  
                                                rmsnorm         0.00%       0.000us         0.00%       0.000us       0.000us      15.747ms        40.77%      15.747ms      46.313us           0 B           0 B           0 B           0 B           340  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      11.838ms        30.65%      11.838ms      18.496us           0 B           0 B           0 B           0 B           640  
                                       mlp/gate_up_proj         0.00%       0.000us         0.00%       0.000us       0.000us       8.502ms        22.01%       8.502ms      53.137us           0 B           0 B           0 B           0 B           160  
                                     attention/qkv_proj         0.00%       0.000us         0.00%       0.000us       0.000us       6.060ms        15.69%       6.060ms      37.873us           0 B           0 B           0 B           0 B           160  
                     aten::_efficient_attention_forward         0.82%       1.103ms         1.84%       2.470ms      15.438us       6.044ms        15.65%       6.044ms      37.777us       2.50 KB           0 B     320.00 KB           0 B           160  
fmha_cutlassF_f32_aligned_64x64_rf_sm80(PyTorchMemEf...         0.00%       0.000us         0.00%       0.000us       0.000us       6.044ms        15.65%       6.044ms      37.777us           0 B           0 B           0 B           0 B           160  
void gemv2T_kernel_val<int, int, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us       5.080ms        13.15%       5.080ms     253.993us           0 B           0 B           0 B           0 B            20  
