-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::mm         6.70%     470.439us        11.03%     774.452us      13.587us       3.163ms        75.59%       3.163ms      55.489us           0 B           0 B      25.56 MB      25.56 MB            57  
                                 ampere_sgemm_128x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us       2.541ms        60.72%       2.541ms      61.973us           0 B           0 B           0 B           0 B            41  
                                       mlp/gate_up_proj         0.00%       0.000us         0.00%       0.000us       0.000us       1.036ms        24.75%       1.036ms     129.446us           0 B           0 B           0 B           0 B             8  
                                         attention/rope         0.00%       0.000us         0.00%       0.000us       0.000us     750.111us        17.93%     750.111us      93.764us           0 B           0 B           0 B           0 B             8  
                                     attention/qkv_proj         0.00%       0.000us         0.00%       0.000us       0.000us     632.164us        15.11%     632.164us      79.020us           0 B           0 B           0 B           0 B             8  
                                          mlp/down_proj         0.00%       0.000us         0.00%       0.000us       0.000us     595.111us        14.22%     595.111us      74.389us           0 B           0 B           0 B           0 B             8  
                                                lm_head         0.00%       0.000us         0.00%       0.000us       0.000us     590.598us        14.11%     590.598us     590.598us           0 B           0 B           0 B           0 B             1  
                                                rmsnorm         0.00%       0.000us         0.00%       0.000us       0.000us     495.690us        11.85%     495.690us      29.158us           0 B           0 B           0 B           0 B            17  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     421.295us        10.07%     421.295us      10.532us           0 B           0 B           0 B           0 B            40  
                                     attention/out_proj         0.00%       0.000us         0.00%       0.000us       0.000us     391.056us         9.35%     391.056us      48.882us           0 B           0 B           0 B           0 B             8  
                                              aten::mul         4.20%     295.037us         6.62%     464.875us       6.282us     278.001us         6.64%     278.001us       3.757us           0 B           0 B      19.00 MB      19.00 MB            74  
