-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                         attention/sdpa         0.00%       0.000us         0.00%       0.000us       0.000us      24.331ms        76.69%      24.331ms     152.066us           0 B           0 B           0 B           0 B           160  
                                               aten::mm         6.31%       7.650ms         8.92%      10.819ms       9.491us      22.789ms        71.83%      22.789ms      19.991us           0 B           0 B       3.99 MB       3.99 MB          1140  
                                         attention/rope         0.00%       0.000us         0.00%       0.000us       0.000us      21.364ms        67.34%      21.364ms     133.526us           0 B           0 B           0 B           0 B           160  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      12.065ms        38.03%      12.065ms      18.852us           0 B           0 B           0 B           0 B           640  
                                       mlp/gate_up_proj         0.00%       0.000us         0.00%       0.000us       0.000us       8.655ms        27.28%       8.655ms      54.093us           0 B           0 B           0 B           0 B           160  
                                     attention/qkv_proj         0.00%       0.000us         0.00%       0.000us       0.000us       6.023ms        18.98%       6.023ms      37.642us           0 B           0 B           0 B           0 B           160  
void gemv2T_kernel_val<int, int, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us       5.066ms        15.97%       5.066ms     253.301us           0 B           0 B           0 B           0 B            20  
                                                lm_head         0.00%       0.000us         0.00%       0.000us       0.000us       5.066ms        15.97%       5.066ms     253.301us           0 B           0 B           0 B           0 B            20  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us       4.229ms        13.33%       4.229ms      26.432us           0 B           0 B           0 B           0 B           160  
                                          mlp/down_proj         0.00%       0.000us         0.00%       0.000us       0.000us       4.229ms        13.33%       4.229ms      26.432us           0 B           0 B           0 B           0 B           160  
