-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::mm         5.56%     455.976us         9.28%     761.469us      13.359us       3.154ms        72.88%       3.154ms      55.330us           0 B           0 B      25.56 MB      25.56 MB            57  
                                 ampere_sgemm_128x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us       2.524ms        58.32%       2.524ms      61.552us           0 B           0 B           0 B           0 B            41  
                                         attention/sdpa         0.00%       0.000us         0.00%       0.000us       0.000us       1.924ms        44.46%       1.924ms     240.498us           0 B           0 B           0 B           0 B             8  
                                       mlp/gate_up_proj         0.00%       0.000us         0.00%       0.000us       0.000us       1.038ms        23.99%       1.038ms     129.750us           0 B           0 B           0 B           0 B             8  
                                         attention/rope         0.00%       0.000us         0.00%       0.000us       0.000us     801.568us        18.52%     801.568us     100.196us           0 B           0 B           0 B           0 B             8  
                                     attention/qkv_proj         0.00%       0.000us         0.00%       0.000us       0.000us     631.428us        14.59%     631.428us      78.929us           0 B           0 B           0 B           0 B             8  
                                     attention/out_proj         0.00%       0.000us         0.00%       0.000us       0.000us     629.186us        14.54%     629.186us      78.648us           0 B           0 B           0 B           0 B             8  
                                          mlp/down_proj         0.00%       0.000us         0.00%       0.000us       0.000us     594.629us        13.74%     594.629us      74.329us           0 B           0 B           0 B           0 B             8  
                                                lm_head         0.00%       0.000us         0.00%       0.000us       0.000us     581.095us        13.43%     581.095us     581.095us           0 B           0 B           0 B           0 B             1  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     430.064us         9.94%     430.064us      10.752us           0 B           0 B           0 B           0 B            40  
                                              aten::bmm         3.60%     295.108us         4.13%     338.980us      21.186us     263.701us         6.09%     263.701us      16.481us           0 B           0 B       6.00 MB       6.00 MB            16  
