-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
## Call CompiledFxGraph f7e3xr4q6ablts5vqcskxsb7vnmf...         0.00%       0.000us         0.00%       0.000us       0.000us      38.300ms       128.30%      38.300ms       2.016ms           0 B           0 B           0 B           0 B            19  
                                               aten::mm         8.26%       3.911ms        12.43%       5.889ms       7.182us      21.736ms        72.81%      21.736ms      26.508us           0 B           0 B           0 B           0 B           820  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      12.497ms        41.86%      12.497ms      19.527us           0 B           0 B           0 B           0 B           640  
                     aten::_efficient_attention_forward         2.19%       1.037ms         5.09%       2.410ms      15.063us       5.623ms        18.84%       5.623ms      35.142us       2.50 KB           0 B     320.00 KB           0 B           160  
fmha_cutlassF_f32_aligned_64x64_rf_sm80(PyTorchMemEf...         0.00%       0.000us         0.00%       0.000us       0.000us       5.623ms        18.84%       5.623ms      35.142us           0 B           0 B           0 B           0 B           160  
void gemv2T_kernel_val<int, int, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us       5.133ms        17.20%       5.133ms     256.663us           0 B           0 B           0 B           0 B            20  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us       4.106ms        13.75%       4.106ms      25.661us           0 B           0 B           0 B           0 B           160  
## Call CompiledFxGraph fxuga7yt3ntrmcpsrwlptm5ltax6...         0.00%       0.000us         0.00%       0.000us       0.000us       2.378ms         7.97%       2.378ms       2.378ms           0 B           0 B           0 B           0 B             1  
triton_poi_fused__scaled_dot_product_efficient_atten...         2.11%       1.001ms         3.51%       1.663ms       5.197us     631.720us         2.12%     631.720us       1.974us           0 B           0 B           0 B           0 B           320  
