-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
## Call CompiledFxGraph fdagnjqzi5qljaxdlaymj3flpxix...         0.00%       0.000us         0.00%       0.000us       0.000us       3.884ms       108.30%       3.884ms       3.884ms           0 B           0 B           0 B           0 B             1  
                                               aten::mm         5.42%     254.769us         9.75%     458.470us      11.182us       3.008ms        83.89%       3.008ms      73.366us           0 B           0 B           0 B           0 B            41  
                                 ampere_sgemm_128x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us       2.253ms        62.84%       2.253ms      56.337us           0 B           0 B           0 B           0 B            40  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     486.763us        13.57%     486.763us      20.282us           0 B           0 B           0 B           0 B            24  
void gemv2T_kernel_val<int, int, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us     256.950us         7.17%     256.950us     256.950us           0 B           0 B           0 B           0 B             1  
                     aten::_efficient_attention_forward         1.21%      56.784us         2.86%     134.306us      16.788us     251.319us         7.01%     251.319us      31.415us         128 B           0 B       2.00 MB           0 B             8  
fmha_cutlassF_f32_aligned_64x64_rf_sm80(PyTorchMemEf...         0.00%       0.000us         0.00%       0.000us       0.000us     251.319us         7.01%     251.319us      31.415us           0 B           0 B           0 B           0 B             8  
               triton_poi_fused__unsafe_view_mul_silu_6         0.75%      35.445us         1.14%      53.505us       6.688us      93.788us         2.62%      93.788us      11.724us           0 B           0 B           0 B           0 B             8  
               triton_poi_fused__unsafe_view_mul_silu_6         0.00%       0.000us         0.00%       0.000us       0.000us      93.788us         2.62%      93.788us      11.724us           0 B           0 B           0 B           0 B             8  
